"","lang","headverb"
"1","fi","saada"
"2","fi","tehdä"
"3","ru","провести"
"4","ru","принять"
"5","ru","получить"
"6","fi","voittaa"
"7","ru","опубликовать"
"8","fi","aloittaa"
"9","fi","antaa"
"10","fi","ottaa"
"11","fi","julkaista"
"12","ru","подписать"
"13","fi","julkistaa"
"14","fi","hyväksyä"
"15","ru","дать"
"16","fi","pitää"
"17","fi","ostaa"
"18","fi","maksaa"
"19","fi","järjestää"
"20","fi","kerätä"
"21","ru","представить"
"22","ru","сделать"
"23","ru","обнародовать"
"24","fi","käyttää"
"25","fi","tuoda"
"26","fi","viettää"
"27","ru","посетить"
"28","fi","tuottaa"
"29","fi","esitellä"
"30","ru","утвердить"
"31","fi","jättää"
"32","fi","esittää"
"33","fi","avata"
"34","ru","купить"
"35","ru","состояться"
"36","fi","pelata"
"37","ru","выиграть"
"38","ru","занять"
"39","fi","täyttää"
"40","ru","начать"
"41","ru","одобрить"
"42","fi","viedä"
"43","fi","kasvattaa"
"44","fi","käsitellä"
"45","ru","внести"
"46","fi","myöntää"
"47","ru","объявить"
"48","ru","пройти"
"49","fi","jakaa"
"50","ru","подтвердить"
"51","fi","ylittää"
"52","fi","jatkaa"
"53","fi","kokea"
"54","ru","проводить"
"55","ru","вынести"
"56","fi","myydä"
"57","fi","nostaa"
"58","fi","tavata"
"59","ru","открыть"
"60","ru","поставить"
"61","ru","признать"
"62","fi","allekirjoittaa"
"63","ru","завершить"
"64","ru","обсуждать"
"65","ru","взять"
"66","ru","написать"
"67","ru","подать"
"68","fi","löytää"
"69","fi","saavuttaa"
"70","ru","видеть"
"71","fi","vetää"
"72","fi","hakea"
"73","fi","lisätä"
"74","ru","направить"
"75","ru","распространить"
"76","fi","vahvistaa"
"77","ru","назвать"
"78","fi","aiheuttaa"
"79","fi","juhlia"
"80","ru","делать"
"81","ru","отметить"
"82","fi","käydä"
"83","fi","vaatia"
"84","ru","подвести"
"85","ru","показать"
"86","ru","удовлетворить"
"87","fi","lähettää"
"88","fi","osoittaa"
"89","ru","приобрести"
"90","ru","рассмотреть"
"91","ru","собрать"
"92","ru","создать"
"93","ru","ввести"
"94","ru","закончить"
"95","ru","озвучить"
"96","ru","совершить"
"97","ru","найти"
"98","ru","отклонить"
"99","ru","увидеть"
"100","fi","ajaa"
"101","fi","nähdä"
"102","ru","выпустить"
"103","fi","hävitä"
"104","fi","herättää"
"105","fi","laskea"
"106","fi","luovuttaa"
"107","fi","menettää"
"108","ru","запустить"
"109","ru","иметь"
"110","ru","принимать"
"111","ru","смотреть"
"112","ru","увеличить"
"113","fi","hankkia"
"114","fi","kertoa"
"115","ru","задержать"
"116","ru","заключить"
"117","ru","потерять"
"118","ru","устроить"
"119","fi","heittää"
"120","ru","завершиться"
"121","ru","одержать"
"122","ru","отправить"
"123","fi","tarjota"
"124","fi","valita"
"125","ru","отменить"
"126","fi","näyttää"
"127","fi","vaihtaa"
"128","ru","огласить"
"129","ru","установить"
"130","fi","toimittaa"
"131","ru","обсудить"
"132","ru","оставить"
"133","ru","приостановить"
